  name     arrival    end      ready    running  waiting  
  a0       0        20       0        10       10       
  a3       0        130      95       10       25       
  a1       0        195      90       20       85       
  a2       0        235      55       30       150      
  a4       0        285      100      30       155      
  a9       75       350      185      30       135      
  a5       40       465      45       80       340      
  a7       0        475      5        100      370      
  a10      515      525      515      10       0        
  a8       0        630      10       150      470      
  a6       0        670      105      200      365      
